seq,first_name,last_name,age,street,city,state,zip,dollar,pick,date
49,Lewis,Nash,43,Hetri Grove,Serjibsa,VT,43984,$1451.93,GREEN,08/22/2020
50,Mae,Garner,42,Getrup Trail,Urajanfa,OH,14934,$8663.93,BLUE,04/19/1905
51,Amanda,Miller,57,Tufwu Highway,Mimkube,CA,93233,$9500.78,BLUE,06/06/1933
52,Cynthia,Thompson,26,Rosir Loop,Iwinafa,RI,97593,$9261.62,GREEN,10/22/2005
53,Frederick,Garcia,59,Zici Glen,Idoseeme,MT,76155,$2658.03,RED,05/18/1903
54,Dora,Armstrong,36,Gepev Terrace,Adadogeg,PA,29968,$7896.25,YELLOW,03/19/2034
55,Georgia,Martin,57,Dazom River,Wobvucip,WI,72991,$813.01,BLUE,02/25/1936
56,Cecilia,Mack,19,Orog Circle,Jumojaha,NY,40501,$5065.19,GREEN,02/23/2019
57,Ivan,Thomas,52,Oruh Loop,Refifa,MO,53120,$8363.60,RED,01/06/2015
58,Francis,Campbell,19,Bazenu Point,Butemabu,MT,39495,$3831.30,RED,04/25/1930
59,Stephen,Jacobs,63,Gupir Manor,Ecajuros,VT,63670,$9223.85,RED,04/09/2059
60,Jordan,Harper,63,Foimo Center,Rebebor,WY,87990,$6689.42,BLUE,12/23/1909
61,Terry,Wilkins,30,Feru Park,Omiefma,KS,49564,$9493.89,RED,07/27/2032
62,Annie,Dixon,24,Vuesu Extension,Fasomve,PA,38736,$735.82,RED,09/22/2045
63,Daisy,Blake,20,Jezur Court,Hobdipo,AK,83102,$5929.87,GREEN,09/27/1948
64,Alfred,Craig,29,Bobes Lane,Haufeam,MO,98776,$5437.90,RED,07/29/1975
65,Caroline,Daniel,35,Tilacu Square,Iguitcuw,DE,22382,$5817.40,BLUE,01/01/1967
66,Loretta,Hoffman,54,Boti Manor,Zubgutli,AL,51721,$8983.32,RED,09/28/2008
67,Wayne,Nelson,44,Otini Parkway,Elubewufa,WV,52367,$8753.75,GREEN,06/12/1950
68,Eleanor,Ballard,38,Bano Junction,Fihduoja,ME,67943,$588.77,YELLOW,01/28/1921
69,Charles,French,46,Vaus River,Saganida,WY,08597,$6412.61,GREEN,03/22/1966
70,Bill,Johnston,31,Jigwos Loop,Atcejor,NC,70492,$7415.10,GREEN,08/20/1929
71,Clara,Guzman,43,Jaflet Court,Lihwezi,GA,15805,$2614.52,BLUE,06/20/1978
72,Ora,Rhodes,42,Pokigi Mill,Emautugi,CT,14324,$5360.73,RED,06/06/2062
73,Cora,Silva,38,Kuvse Highway,Uhpiwiz,RI,90894,$5152.86,GREEN,09/27/1995
74,Joshua,Bailey,18,Ovori Mill,Zotakjah,CT,98177,$2138.69,YELLOW,02/25/1935
75,Patrick,Turner,44,Padse Heights,Kucipis,HI,60628,$1173.29,WHITE,12/13/2002
76,Genevieve,Greer,24,Gusi Square,Zapodelo,MT,09683,$7824.22,GREEN,09/12/1909
77,Dennis,Cruz,58,Juzhe Glen,Zapepla,UT,88911,$3452.74,YELLOW,11/10/1901
78,Jean,Bell,58,Razlok Key,Ciacojup,CO,32906,$5884.10,GREEN,04/05/1996
79,Charlie,Williamson,38,Mife Mill,Uwoudvu,NC,72341,$3338.57,BLUE,02/26/1938
80,Edith,Snyder,49,Tanesa Pass,Ummalcu,AK,28554,$796.71,GREEN,03/11/1934
81,Lily,Pratt,51,Egva Square,Boohuva,DC,73213,$1083.43,BLUE,11/13/2065
82,Victoria,Shaw,45,Joso Boulevard,Zotcarkik,MT,66985,$9293.03,YELLOW,05/18/1984
83,Kate,Jordan,18,Dibwic Street,Igibimaz,NJ,83796,$4275.53,RED,07/04/1913
84,Caroline,Nichols,25,Nigeh Extension,Ewwupel,VA,66598,$1634.08,BLUE,06/02/2064
85,Ralph,Wilson,51,Losom Court,Rezkoffu,WA,97696,$6814.85,RED,05/08/2061
86,Douglas,Adkins,62,Dedcom Lane,Ugsulva,MT,82072,$8940.89,GREEN,11/16/2004
87,Mark,Obrien,34,Etueri Key,Viklihnab,VT,51660,$1978.83,WHITE,03/12/2064
88,Theodore,Woods,19,Olozi Pass,Rifgupnoz,VT,94760,$9680.18,WHITE,05/09/2035
89,Christina,Ball,18,Meldum Key,Hemuzo,MD,47711,$384.59,WHITE,05/25/2041
90,Aaron,Hernandez,42,Tibbe Center,Ronlipa,NV,01491,$3547.97,YELLOW,09/18/1972
91,Mittie,McCoy,65,Adosa Boulevard,Ducvuleg,IL,81396,$41.42,YELLOW,03/02/2011
92,Jim,Reed,29,Ramlov Way,Ecbacaz,ME,33024,$1405.79,GREEN,03/04/1903
93,Leila,Hughes,64,Boncom Manor,Upoogedoz,SD,38920,$9318.56,GREEN,08/25/2028
94,Shane,Little,35,Wifam Manor,Sopkikuz,NM,12790,$493.70,BLUE,06/12/1940
95,Anne,Welch,46,Bamwak Grove,Bemdebli,VT,83788,$7436.93,BLUE,03/17/1990
96,Christian,Ortiz,43,Ehupog Pass,Jorazke,IL,54407,$4309.03,GREEN,01/14/1992
97,Sophie,Cruz,47,Ebvel Terrace,Seddothez,OR,56598,$1591.14,GREEN,11/15/2065
98,Jeremiah,Schwartz,30,Zuud Point,Losiki,UT,57657,$8502.89,WHITE,07/03/2025
99,Eva,Fisher,58,Henwah Point,Leabzu,MS,76173,$3830.71,RED,08/23/1952
100,Genevieve,Knight,44,Nieza Street,Huesre,CO,32087,$7048.89,RED,03/04/2030
